City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
174,lompoc,34.6391,-120.4579,293.58,58,75,4.63,US,1696101380
175,monki,53.405,22.7979,284.08,81,98,2.82,PL,1696101632
176,puerto carreno,6.189,-67.4859,308.56,47,99,0.75,CO,1696101632
177,punta del este,-34.9667,-54.95,287.21,67,20,6.17,UY,1696101632
178,whitehorse,60.7161,-135.0538,278.76,95,75,1.54,CA,1696101632
179,saynshand,44.8824,110.1163,283.28,35,64,3.34,MN,1696101632
180,tannum sands,-23.9504,151.3693,291.09,72,40,2.06,AU,1696101633
181,san fernando,15.0286,120.6898,301.0,93,100,0.56,PH,1696101633
182,art khwajah,37.0857,69.4796,290.95,31,0,1.01,AF,1696101633
183,charters towers,-20.1,146.2667,289.49,95,35,3.2,AU,1696101633
184,bonthe,7.5264,-12.505,300.21,82,11,4.06,SL,1696101633
185,afaahiti,-17.75,-149.2833,300.08,84,6,8.12,PF,1696101634
186,la sarre,48.8002,-79.1996,291.1,74,100,4.0,CA,1696101481
187,portland,45.5234,-122.6762,291.48,68,20,4.12,US,1696101419
188,andergrove,-21.0833,149.1833,290.18,71,38,3.51,AU,1696101634
189,antofagasta,-23.65,-70.4,290.75,65,13,3.88,CL,1696101634
190,fuglafjordur,62.244,-6.814,281.41,76,76,2.65,FO,1696101634
191,newman,37.3138,-121.0208,294.85,54,88,3.13,US,1696101635
192,maturin,9.75,-63.1767,308.21,45,100,2.62,VE,1696101635
193,belfast,54.5833,-5.9333,287.25,99,100,7.72,GB,1696101441
194,papatowai,-46.5619,169.4708,280.73,78,100,5.06,NZ,1696101345
195,port elizabeth,-33.918,25.5701,287.31,75,20,7.2,ZA,1696101368
196,florence,43.7667,11.25,297.34,53,0,1.34,IT,1696101636
197,saint-pierre,-21.3393,55.4781,295.97,78,0,2.57,RE,1696101504
198,naze,28.3667,129.4833,297.66,86,12,2.73,JP,1696101538
199,east london,-33.0153,27.9116,288.89,66,100,10.72,ZA,1696101636
200,enewetak,11.3474,162.3373,301.66,78,80,4.81,MH,1696101636
201,jijiga,9.35,42.8,293.78,67,69,1.91,ET,1696101636
202,tarauaca,-8.1614,-70.7656,308.56,40,99,1.42,BR,1696101637
203,mananjary,-21.2167,48.3333,295.76,84,7,4.86,MG,1696101637
204,tekeli,44.83,78.8239,282.1,62,74,3.28,KZ,1696101637
205,varde,55.6211,8.4807,287.24,87,75,3.09,DK,1696101637
206,tshabong,-26.05,22.45,295.15,10,0,5.47,BW,1696101637
207,howrah,22.5892,88.3103,300.15,94,75,4.12,IN,1696101637
